seq,send_timestamp,out_size_b,recv_timestamp,in_size_b
500.0,1603319501.726856,124.0,,
501.0,1603319501.7577734,124.0,,
502.0,1603319501.7896879,124.0,,
503.0,1603319501.8217094,124.0,,
504.0,1603319501.8518057,124.0,,
505.0,1603319501.8837602,124.0,,
506.0,1603319501.9156752,124.0,,
507.0,1603319501.9465888,124.0,,
508.0,1603319501.9785042,124.0,,
509.0,1603319502.0097892,124.0,,
510.0,1603319502.0408564,124.0,,
511.0,1603319502.0716665,124.0,,
512.0,1603319502.1035805,124.0,,
513.0,1603319502.1344984,124.0,,
514.0,1603319502.1664207,124.0,,
515.0,1603319502.1971004,124.0,,
516.0,1603319502.2280817,124.0,,
517.0,1603319502.258999,124.0,,
518.0,1603319502.2909136,124.0,,
519.0,1603319502.32227,124.0,,
520.0,1603319502.3527844,124.0,,
521.0,1603319502.3852572,124.0,,
522.0,1603319502.4161716,124.0,,
523.0,1603319502.4480867,124.0,,
524.0,1603319502.4795668,124.0,,
525.0,1603319502.5107608,124.0,,
526.0,1603319502.5416868,124.0,,
527.0,1603319502.573021,124.0,,
528.0,1603319502.6048887,124.0,,
529.0,1603319502.6348443,124.0,,
530.0,1603319502.6667593,124.0,,
531.0,1603319502.6979537,124.0,,
532.0,1603319502.7284865,124.0,,
533.0,1603319502.7604015,124.0,,
534.0,1603319502.7916002,124.0,,
535.0,1603319502.8227015,124.0,,
536.0,1603319502.8546903,124.0,,
537.0,1603319502.8866053,124.0,,
538.0,1603319502.917811,124.0,,
539.0,1603319502.9497252,124.0,,
540.0,1603319502.9816396,124.0,,
541.0,1603319503.0124974,124.0,,
542.0,1603319503.043824,124.0,,
543.0,1603319503.0747747,124.0,,
544.0,1603319503.1061835,124.0,,
545.0,1603319503.1378045,124.0,,
546.0,1603319503.1678686,124.0,,
547.0,1603319503.1987858,124.0,,
548.0,1603319503.2294178,124.0,,
549.0,1603319503.2607977,124.0,,
550.0,1603319503.2917452,124.0,,
551.0,1603319503.3226626,124.0,,
552.0,1603319503.3536465,124.0,,
553.0,1603319503.3850248,124.0,,
554.0,1603319503.4169395,124.0,,
555.0,1603319503.446799,124.0,,
556.0,1603319503.4787993,124.0,,
557.0,1603319503.5097308,124.0,,
558.0,1603319503.5406744,124.0,,
559.0,1603319503.571694,124.0,,
560.0,1603319503.6025846,124.0,,
561.0,1603319503.6335063,124.0,,
562.0,1603319503.6659434,124.0,,
563.0,1603319503.6972733,124.0,,
564.0,1603319503.7275095,124.0,,
565.0,1603319503.757461,124.0,,
566.0,1603319503.7873724,124.0,,
567.0,1603319503.8181133,124.0,,
568.0,1603319503.848891,124.0,,
569.0,1603319503.8808067,124.0,,
570.0,1603319503.9117284,124.0,,
571.0,1603319503.9436076,124.0,,
572.0,1603319503.9748993,124.0,,
573.0,1603319504.0064228,124.0,,
574.0,1603319504.036341,124.0,,
575.0,1603319504.0672898,124.0,,
576.0,1603319504.098212,124.0,,
577.0,1603319504.130127,124.0,,
578.0,1603319504.1620314,124.0,,
579.0,1603319504.192315,124.0,,
580.0,1603319504.2236292,124.0,,
581.0,1603319504.253915,124.0,,
582.0,1603319504.2848325,124.0,,
583.0,1603319504.31575,124.0,,
584.0,1603319504.3476644,124.0,,
585.0,1603319504.379579,124.0,,
586.0,1603319504.4104965,124.0,,
587.0,1603319504.441939,124.0,,
588.0,1603319504.4731295,124.0,,
589.0,1603319504.5031078,124.0,,
590.0,1603319504.5350225,124.0,,
591.0,1603319504.5659397,124.0,,
592.0,1603319504.5969656,124.0,,
593.0,1603319504.6277745,124.0,,
594.0,1603319504.6602852,124.0,,
595.0,1603319504.6909077,124.0,,
596.0,1603319504.720041,124.0,,
597.0,1603319504.7499611,124.0,,
598.0,1603319504.7818756,124.0,,
599.0,1603319504.812793,124.0,,
600.0,1603319504.8437104,124.0,,
601.0,1603319504.8756251,124.0,,
602.0,1603319504.9062002,124.0,,
603.0,1603319504.9382389,124.0,,
604.0,1603319504.9692025,124.0,,
605.0,1603319505.0014067,124.0,,
606.0,1603319505.03199,124.0,,
607.0,1603319505.0639048,124.0,,
608.0,1603319505.0958464,124.0,,
609.0,1603319505.127998,124.0,,
610.0,1603319505.160178,124.0,,
611.0,1603319505.1891265,124.0,,
612.0,1603319505.2210412,124.0,,
613.0,1603319505.252956,124.0,,
614.0,1603319505.2848704,124.0,,
615.0,1603319505.316785,124.0,,
616.0,1603319505.3487022,124.0,,
617.0,1603319505.3805892,124.0,,
618.0,1603319505.4110305,124.0,,
619.0,1603319505.441948,124.0,,
620.0,1603319505.4738626,124.0,,
621.0,1603319505.5057774,124.0,,
622.0,1603319505.5366948,124.0,,
623.0,1603319505.567612,124.0,,
624.0,1603319505.5992773,124.0,,
625.0,1603319505.6308498,124.0,,
626.0,1603319505.6608274,124.0,,
627.0,1603319505.6928878,124.0,,
628.0,1603319505.7238426,124.0,,
629.0,1603319505.755961,124.0,,
630.0,1603319505.78718,124.0,,
631.0,1603319505.81773,124.0,,
632.0,1603319505.849802,124.0,,
633.0,1603319505.8817744,124.0,,
634.0,1603319505.9136894,124.0,,
635.0,1603319505.945604,124.0,,
636.0,1603319505.977599,124.0,,
637.0,1603319506.009433,124.0,,
638.0,1603319506.041348,124.0,,
639.0,1603319506.0728014,124.0,,
640.0,1603319506.1047282,124.0,,
641.0,1603319506.136643,124.0,,
642.0,1603319506.166597,124.0,,
