timestamp,sens_position_raw,sens_position_proc,sens_speed_raw,sens_speed_proc,sens_angle_raw,sens_angle_proc,sens_ang_vel_raw,sens_ang_vel_proc,act_force_raw,act_force_proc
1603319487.7742848,-0.06825006084246713,,-0.00806545088545106,,-0.12119621447914848,,-0.18975215077838525,,4.214994481093646,4.214994481093646
1603319487.7892432,-0.06826296556388385,-0.06826296556388385,0.004345379705695606,0.004345379705695606,-0.1214998179203939,-0.1214998179203939,-0.17262557248109836,-0.17262557248109836,,
1603319487.8052056,-0.06825601295635474,,0.016647752397813718,,-0.12177601883636366,,-0.15568326121546186,,4.190724305867963,4.190724305867963
1603319487.8201592,-0.06823104132775802,-0.06823104132775802,0.028179380928632976,0.028179380928632976,-0.12200954372818686,-0.12200954372818686,-0.13980932078007036,-0.13980932078007036,,
1603319487.8361135,-0.06818595431827221,,0.040399683166204674,,-0.12223323864143497,,-0.12301408829493045,,4.16597590704818,4.16597590704818
1603319487.851076,-0.06812131482520628,-0.06812131482520628,0.05261839985728582,0.05261839985728582,-0.12243006118270686,-0.12243006118270686,-0.10622660426643482,-0.10622660426643482,,
1603319487.8670015,-0.06804238722542034,,0.06397986280773091,,-0.12258940108910651,,-0.0906455390017893,,4.13484039496662,4.13484039496662
1603319487.8820019,-0.06794001944492797,-0.06794001944492797,0.07609756718012253,0.07609756718012253,-0.12273443395150938,-0.12273443395150938,-0.07403174104804779,-0.07403174104804779,,
1603319487.8879466,-0.06794001944492797,,0.07609756718012253,,-0.12273443395150938,,-0.07403174104804779,,4.099470559918416,4.099470559918416
1603319487.897919,-0.06782587309415779,-0.06782587309415779,0.0995062143202369,0.0995062143202369,-0.12284548156308145,-0.12284548156308145,-0.03880259716710096,-0.03880259716710096,,
1603319487.9138758,-0.06766666315124541,,0.11102787926166424,,-0.12290756571854881,,-0.02316638536427815,,3.946869212759177,3.946869212759177
1603319487.9296288,-0.06748901854442674,-0.06748901854442674,0.1225493124803262,0.1225493124803262,-0.12294463193513167,-0.12294463193513167,-0.007530770736238414,-0.007530770736238414,,
1603319487.9455552,-0.06730519457570625,,0.1332324484386112,,-0.12295592809123602,,0.0069340241499153904,,3.907043955243646,3.907043955243646
1603319487.9610221,-0.06709202265820446,-0.06709202265820446,0.14462786788703594,0.14462786788703594,-0.12294483365259616,-0.12294483365259616,0.022363578031438222,0.022363578031438222,,
1603319487.9769802,-0.06686061806958521,,0.15588714636141948,,-0.12290905192774586,,0.03757237713836265,,3.8638959059137648,3.8638959059137648
1603319487.9929366,-0.06662678735004308,-0.06662678735004308,0.1664431071040386,0.1664431071040386,-0.12285269336203831,-0.12285269336203831,0.05183240464655142,0.05183240464655142,,
1603319488.0088937,-0.06636047837867662,,0.17755357250712295,,-0.12276976151460384,,0.06680194986157356,,3.8165057213474096,3.8165057213474096
1603319488.024851,-0.06609414801991594,-0.06609414801991594,0.1879704132749545,0.1879704132749545,-0.12266955858981148,-0.12266955858981148,0.0808401303281374,0.0808401303281374,,
1603319488.0412831,-0.06579339535867601,,0.19892017794702996,,-0.12254021438128646,,0.09555377841661816,,3.7651238147213775,3.7651238147213775
1603319488.0567658,-0.06547512307396076,-0.06547512307396076,0.20987118657097897,0.20987118657097897,-0.12238732833581986,-0.12238732833581986,0.1102741527037696,0.1102741527037696,,
1603319488.0727232,-0.06516031629410429,,0.21997000077282697,,-0.12222191710676421,,0.12380478304137423,,3.7081394134402537,3.7081394134402537
1603319488.0886805,-0.06480836429286777,-0.06480836429286777,0.2307436056573826,0.2307436056573826,-0.122023829453898,-0.122023829453898,0.13824545917090986,0.13824545917090986,,
1603319488.1046379,-0.06443917452381595,,0.24133311163664023,,-0.12180263671922455,,0.152392233750582,,3.649372438785951,3.649372438785951
1603319488.1205955,-0.064077174856361,-0.064077174856361,0.2512624278327642,0.2512624278327642,-0.12157404836859867,-0.12157404836859867,0.1656631467560964,0.1656631467560964,,
1603319488.1355555,-0.06367515497182857,,0.2616594251115076,,-0.12130898733378892,,0.17950911690042676,,3.5873022958274223,3.5873022958274223
1603319488.1505153,-0.06328266583416131,-0.06328266583416131,0.2714086168719376,0.2714086168719376,-0.12103972365843828,-0.12103972365843828,0.19250031333428164,0.19250031333428164,,
1603319488.1664724,-0.06284841204716621,,0.2816040335005438,,-0.12073172315710343,,0.2060331924749028,,3.5221607882505044,3.5221607882505044
1603319488.18243,-0.062397845593565336,-0.062397845593565336,0.2918020351496335,0.2918020351496335,-0.12040207004914358,-0.12040207004914358,0.21957983521292523,0.21957983521292523,,
1603319488.1973898,-0.06196014254084089,,0.3011566510396625,,-0.12007270029632419,,0.23195180465446583,,3.451894550997027,3.451894550997027
1603319488.213347,-0.06147829189917743,-0.06147829189917743,0.3111377309037266,0.3111377309037266,-0.11970157740887705,-0.11970157740887705,0.2451634058533852,0.2451634058533852,,
1603319488.229305,-0.06098047152973147,,0.3208981499117465,,-0.11930931595951164,,0.25802600506552087,,3.3811823838233526,3.3811823838233526
1603319488.2452617,-0.06049912430486385,-0.06049912430486385,0.33005129510401476,0.33005129510401476,-0.11892227695191336,-0.11892227695191336,0.2700988413199989,0.2700988413199989,,
1603319488.260222,-0.059971042232697426,,0.33958648098233607,,-0.11849011880580136,,0.2826159659023687,,3.308031015814194,3.308031015814194
1603319488.276212,-0.05946166251122392,-0.05946166251122392,0.3485287751094945,0.3485287751094945,-0.1180661948569478,-0.1180661948569478,0.29436700870127286,0.29436700870127286,,
1603319488.2921224,-0.05890401647104873,,0.357832217800679,,-0.11759520764302576,,0.3065302728267147,,3.2326535051209735,3.2326535051209735
1603319488.3081121,-0.05833148492256764,-0.05833148492256764,0.367139382471838,0.367139382471838,-0.11710475920650303,-0.11710475920650303,0.3187134851194476,0.3187134851194476,,
1603319488.3240767,-0.057780775848859885,,0.37563091947933136,,-0.11662668897882385,,0.32976527034673575,,3.152666923268681,3.152666923268681
1603319488.3400319,-0.05717976637769295,-0.05717976637769295,0.3846924629533071,0.3846924629533071,-0.11609906454626907,-0.11609906454626907,0.34157463462805665,0.34157463462805665,,
1603319488.3548043,-0.05656425843696766,,0.3935071862170055,,-0.11555254513086419,,0.3529962430190911,,3.0733785739541144,3.0733785739541144
1603319488.3702755,-0.055973997657642154,-0.055973997657642154,0.40177464997377965,0.40177464997377965,-0.11502305076633555,-0.11502305076633555,0.3637231983852049,0.3637231983852049,,
1603319488.385482,-0.055331158217684105,,0.4103413734209605,,-0.11444109364891922,,0.37476976002294854,,2.992437847188082,2.992437847188082
1603319488.4005005,-0.054715646157552665,-0.054715646157552665,0.4183765924981494,0.4183765924981494,-0.1138789390088848,-0.1138789390088848,0.385146984122928,0.385146984122928,,
1603319488.4165366,-0.05404624360955563,,0.4266911184903495,,-0.1132627038342881,,0.3958135884595288,,2.9100381120759256,2.9100381120759256
1603319488.432599,-0.05336353781997107,-0.05336353781997107,0.4350102874150682,0.4350102874150682,-0.11262940209275285,-0.11262940209275285,0.406505403418387,0.406505403418387,,
1603319488.4484427,-0.05271102238884847,,0.44255703141380465,,-0.11201964398762528,,0.41613175311030287,,2.82356922584634,2.82356922584634
1603319488.464371,-0.05200293113858638,-0.05200293113858638,0.4506116643609291,0.4506116643609291,-0.11135383318264878,-0.11135383318264878,0.4264256889130021,0.4264256889130021,,
1603319488.4803612,-0.05128195247560889,,0.45840271957185125,,-0.11067155208038798,,0.4363078058465286,,2.7387565286694837,2.7387565286694837
1603319488.4963188,-0.05059434839625111,-0.05059434839625111,0.46571121193501464,0.46571121193501464,-0.11001709037161819,-0.11001709037161819,0.4455957149367635,0.4455957149367635,,
1603319488.512276,-0.04984921045715509,,0.47324044956856587,,-0.10930413722771937,,0.4550866225588676,,2.6529970412175246,2.6529970412175246
1603319488.5282335,-0.04913934978280224,-0.04913934978280224,0.48030369502159787,0.48030369502159787,-0.10862150729388106,-0.10862150729388106,0.4640094326321472,0.4640094326321472,,
1603319488.5443397,-0.04837086387076768,,0.4875689771854842,,-0.10787909220166964,,0.4731072834036193,,2.5664633160326,2.5664633160326
1603319488.5602846,-0.047590753507270905,-0.047590753507270905,0.4948396142156317,0.4948396142156317,-0.10712212054822384,-0.10712212054822384,0.48223467872054626,0.48223467872054626,,
1603319488.5652692,-0.046848494085947455,,0.5013931941380421,,-0.10639876853014302,,0.49038024644309386,,2.4764094277297044,2.4764094277297044
1603319488.5751755,-0.046848494085947455,-0.046848494085947455,0.5013931941380421,0.5013931941380421,-0.10639876853014302,-0.10639876853014302,0.49038024644309386,0.49038024644309386,,
1603319488.5901175,-0.04604626497532659,,0.5161012030781148,,-0.10561416013583406,,0.5117056210017843,,2.4347934825089794,2.4347934825089794
1603319488.6050785,-0.0452205030504016,-0.0452205030504016,0.5229715639304107,0.5229715639304107,-0.10479543114223121,-0.10479543114223121,0.5202410669657018,0.5202410669657018,,
1603319488.6210318,-0.04443604570450599,,0.5288839113473199,,-0.10401506954178265,,0.5273982645960897,,2.255093506858266,2.255093506858266
1603319488.635995,-0.04358983144635028,-0.04358983144635028,0.5351961431056188,0.5351961431056188,-0.10317123231842891,-0.10317123231842891,0.5350644413167994,0.5350644413167994,,
1603319488.651956,-0.04278703723169185,,0.5408655445944671,,-0.10236863565645371,,0.5418658413613838,,2.1697522794384003,2.1697522794384003
1603319488.6679094,-0.041921652360340705,-0.041921652360340705,0.5469187127575257,0.5469187127575257,-0.1015016503102755,-0.1015016503102755,0.5491528230325872,0.5491528230325872,,
1603319488.6838675,-0.041046582419928666,,0.5527070312299827,,-0.10062300579342336,,0.5560304588450893,,2.0842860521612874,2.0842860521612874
1603319488.6998136,-0.040217521873083695,-0.040217521873083695,0.5581388159099862,0.5581388159099862,-0.09978896010515573,-0.09978896010515573,0.562507311879215,0.562507311879215,,
1603319488.71575,-0.03932449976762772,,0.5636678933672943,,-0.09888894840614898,,0.5690066648990502,,1.9988267161903703,1.9988267161903703
