tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
95.0,-8.999637797659874e-09,-1.1543157368112546e-07,-6.649661669531457e-10,-4.836613573411366e-07,,,,
96.0,-9.677978366309976e-09,-2.6354772729008376e-07,-3.50723115312749e-09,-7.769098875887466e-07,-9.677978366309976e-09,-2.6354772729008376e-07,-3.50723115312749e-09,-7.769098875887466e-07
97.0,-1.0877432302408532e-08,-1.570144228022965e-07,-7.0430902259568825e-09,5.819071266879137e-07,,,,
98.0,-1.1642658421410416e-08,-3.538479137061615e-08,-4.207105325795108e-09,-8.191396571082446e-07,-1.1642658421410416e-08,-3.538479137061615e-08,-4.207105325795108e-09,-8.191396571082446e-07
99.0,-1.183286519202622e-08,1.9300507420392845e-07,-8.61029389429627e-09,6.147526068257569e-07,,,,
100.0,-1.0902854801545637e-08,4.057695374024587e-07,-5.648059278024502e-09,1.0537152266834594e-06,-1.0902854801545637e-08,4.057695374024587e-07,-5.648059278024502e-09,1.0537152266834594e-06
101.0,-9.00069079858685e-09,2.579393577174923e-07,-7.084593603035946e-10,1.7038463160108522e-07,,,,
102.0,-7.716631790595374e-09,1.0186014583319955e-07,1.3973970077302146e-10,8.396618577600503e-08,-7.716631790595374e-09,1.0186014583319955e-07,1.3973970077302146e-10,8.396618577600503e-08
103.0,-7.13930274444308e-09,1.0893876596071658e-07,6.156482864772778e-10,3.8372916524426286e-07,,,,
104.0,-6.607481663907737e-09,1.1446306263315723e-07,2.4889507559280403e-09,6.926990360340309e-07,-6.607481663907737e-09,1.1446306263315723e-07,2.4889507559280403e-09,6.926990360340309e-07
105.0,-6.084343116365873e-09,-3.7132006491852054e-08,5.6548416490965765e-09,-4.4916955173389926e-07,,,,
106.0,-6.278847175872063e-09,-2.0990395290253574e-07,3.3020115848771874e-09,-6.488790421569847e-07,-6.278847175872063e-09,-2.0990395290253574e-07,3.3020115848771874e-09,-6.488790421569847e-07
107.0,-7.204779481059063e-09,-1.2429678979724302e-07,4.396640255107081e-10,2.380891279906108e-07,,,,
108.0,-7.940684591321488e-09,-4.879090628777474e-09,1.8492821360992845e-09,-6.735029898624444e-07,-7.940684591321488e-09,-4.879090628777474e-09,1.8492821360992845e-09,-6.735029898624444e-07
109.0,-7.961939969076691e-09,1.4717248725729196e-07,-1.084781106003749e-09,1.2481637163625806e-06,,,,
110.0,-7.2441793072319775e-09,3.248006817307093e-07,5.002517082962442e-09,-3.6383801138702856e-07,-7.2441793072319775e-09,3.248006817307093e-07,5.002517082962442e-09,-3.6383801138702856e-07
111.0,-5.649443363241805e-09,5.22144321753917e-07,3.2161121054326772e-09,1.3484805673275775e-06,,,,
112.0,-2.524217970581735e-09,1.9787577076524538e-07,1.1287263193248155e-08,4.733187084773637e-07,-2.524217970581735e-09,1.9787577076524538e-07,1.1287263193248155e-08,4.733187084773637e-07
113.0,-1.5984205593535513e-09,2.4577213637169995e-07,1.3501769968380702e-08,1.1375072110739533e-06,,,,
114.0,-3.9848185096941145e-10,1.6631363449081754e-07,1.905544645011752e-08,-5.154367885967485e-07,-3.9848185096941145e-10,1.6631363449081754e-07,1.905544645011752e-08,-5.154367885967485e-07
115.0,4.55094604724201e-10,2.2994870350828478e-07,1.641005475693796e-08,5.762238428809616e-07,,,,
116.0,1.5784043691146869e-09,3.374463169639052e-07,1.9224934159636886e-08,8.364922105173178e-07,1.5784043691146869e-09,3.374463169639052e-07,1.9224934159636886e-08,8.364922105173178e-07
117.0,3.157946373325675e-09,1.6103647690464802e-07,2.3140444616515674e-08,3.3016268791603066e-07,,,,
118.0,4.054456408810551e-09,-4.931064045258387e-09,2.497850124038633e-08,-1.6714865394130459e-07,4.054456408810551e-09,-4.931064045258387e-09,2.497850124038633e-08,-1.6714865394130459e-07
119.0,4.0315712715401355e-09,7.954159718477495e-09,2.4202761997313597e-08,6.010482895032976e-07,,,,
120.0,4.0703323531907924e-09,2.5669345380226837e-08,2.7131705172958605e-08,-4.731520530981638e-07,4.0703323531907924e-09,2.5669345380226837e-08,2.7131705172958605e-08,-4.731520530981638e-07
121.0,4.21162038324112e-09,1.4710056710918692e-07,2.4527403407320163e-08,4.3450216467495195e-07,,,,
122.0,4.858548965924613e-09,2.4751135213712384e-07,2.6438285704309765e-08,8.646502550837929e-07,4.858548965924613e-09,2.4751135213712384e-07,2.6438285704309765e-08,8.646502550837929e-07
123.0,6.217330104114089e-09,3.8942439702401036e-08,3.1185019329229266e-08,-8.133274018582831e-07,,,,
124.0,6.415905120037791e-09,-1.6598751253792105e-07,2.703770593516799e-08,7.18287818830864e-07,6.415905120037791e-09,-1.6598751253792105e-07,2.703770593516799e-08,7.18287818830864e-07
125.0,5.656411827672841e-09,-2.5906340374865367e-07,3.032430727070436e-08,-4.980363100914761e-07,,,,
126.0,4.3891715824268e-09,-5.354337120579661e-07,2.7888101899319342e-08,-1.3155955587632448e-06,4.3891715824268e-09,-5.354337120579661e-07,2.7888101899319342e-08,-1.3155955587632448e-06
127.0,1.4664959564587559e-09,-3.6339331939167227e-07,2.0706897229836598e-08,-3.1764929116450546e-07,,,,
128.0,-5.222833652999456e-10,-1.942849581595075e-07,1.8968465871503392e-08,1.9280135989162112e-07,-5.222833652999456e-10,-1.942849581595075e-07,1.8968465871503392e-08,1.9280135989162112e-07
129.0,-1.3851141329913398e-09,-7.5553824952435e-08,1.9824707893238574e-08,-8.444117651505928e-08,,,,
130.0,-1.7555030845737174e-09,-1.9547450244377468e-07,1.9410750309231606e-08,-1.1005328637857594e-06,-1.7555030845737174e-09,-1.9547450244377468e-07,1.9410750309231606e-08,-1.1005328637857594e-06
131.0,-2.681656390358742e-09,6.791992246713468e-09,1.4196453113547906e-08,4.471894686489082e-07,,,,
132.0,-2.6481913887682693e-09,1.7010901460587634e-07,1.639981197144703e-08,6.416141389134419e-07,-2.6481913887682693e-09,1.7010901460587634e-07,1.639981197144703e-08,6.416141389134419e-07
133.0,-1.7037223244206248e-09,4.535169581777723e-09,1.9962143496650426e-08,1.6669180951151061e-07,,,,
134.0,-1.6814569955285335e-09,-1.3962547339247126e-07,2.0780513768250452e-08,2.941761494498279e-07,-1.6814569955285335e-09,-1.3962547339247126e-07,2.0780513768250452e-08,2.941761494498279e-07
