tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
133.0,0.005552139999963401,-1.4519715996463849e-05,1.6669180951151061e-07,1.9962143496650426e-08,4.535169581777723e-09,-1.7037223244206248e-09
134.0,0.004909480999685911,-1.4519715996463849e-05,2.941761494498279e-07,2.0780513768250452e-08,-1.3962547339247126e-07,-1.6814569955285335e-09
135.0,0.00454096599969489,-1.6142483621697704e-05,-7.089302522063863e-07,2.2116357660823284e-08,-2.857004945989064e-07,-2.315491522895049e-09
136.0,0.004876356999830023,-1.6142483621697704e-05,-1.016012266631269e-06,1.865936066308541e-08,-4.420090109870054e-07,-3.7086691295873256e-09
137.0,0.00562258500031021,1.0993105076063998e-05,-2.0068620872308586e-07,1.2946745332593259e-08,-3.235329630247382e-07,-6.193902364764813e-09
138.0,0.005048446000273543,1.0993105076063998e-05,2.4801495855703634e-07,1.1933591844855134e-08,-2.1496501954251802e-07,-7.8272410579037e-09
139.0,0.004707415999746445,-1.6839706444457273e-05,-7.852281123443361e-07,1.3101101428942979e-08,-3.7309744293611277e-07,-8.839170830283956e-09
140.0,0.00489872500020283,-1.6839706444457273e-05,-1.1052977203572256e-06,9.254484844139703e-09,-5.210822547597841e-07,-1.0666872601506841e-08
141.0,0.004702975999862247,1.1429483522525311e-05,-2.729472018056226e-07,4.056296192597218e-09,-1.790586724745101e-07,-1.311750993959621e-08
142.0,0.004945216999658442,1.1429483522525311e-05,-2.7664689693141976e-08,2.7065130502188494e-09,-5.441985764992942e-08,-1.4002993930653432e-08
143.0,0.005788076000044384,-2.295112805776045e-06,7.521154959957752e-08,2.546387723757299e-09,-8.187096677540801e-08,-1.431798020264282e-08
144.0,0.0051428920000944345,-2.295112805776045e-06,4.990240545149987e-07,2.933192600507672e-09,-1.0887008799108006e-07,-1.4739033742712063e-08
145.0,0.004693010999744729,-1.9597013960187497e-05,-6.827064222489906e-07,5.275117977483774e-09,-2.9234391643139526e-07,-1.524996226319738e-08
146.0,0.004921034000290092,-1.9597013960187497e-05,-1.1504511920714623e-06,1.915496461380087e-09,-4.843244327877704e-07,-1.668859661573424e-08
147.0,0.004448794999916572,1.4594032130204377e-05,-3.414437167126728e-07,-3.2026250495554944e-09,-2.2359508214488307e-07,-1.8843256730657904e-08
148.0,0.005036035000102856,1.4594032130204377e-05,-3.280507042506061e-07,-4.922147557485719e-09,-6.046194897325183e-08,-1.9969289390190407e-08
149.0,0.0054975639995973324,6.750524770435427e-06,5.853597125922757e-07,-6.725627299216403e-09,6.800037241671377e-09,-2.0301682824211246e-08
150.0,0.004855031000261079,6.750524770435427e-06,5.087302198809244e-07,-3.883687748276989e-09,7.335112206399998e-08,-2.0268668432600003e-08
151.0,0.005432617000224127,-1.2783730189317454e-05,-4.6374619721943646e-07,-1.1199513072241215e-09,-6.556461343994841e-08,-1.9870179879889603e-08
152.0,0.005119299999932991,-1.2783730189317454e-05,1.5577440275220671e-07,-3.4940072146185077e-09,-2.0190101934361e-07,-2.0205824805468338e-08
153.0,0.004525768999883439,-1.257582885250067e-05,-3.579833159279712e-07,-2.789008251667213e-09,-2.033080974921826e-07,-2.1119582179858515e-08
154.0,0.0048621789997014275,-1.257582885250067e-05,-1.0080069063701508e-06,-4.529587212615676e-09,-3.172480305664086e-07,-2.2108102541954256e-08
155.0,0.0053543210001407715,1.6974960573649313e-05,9.718200264629539e-08,-9.926779759680308e-09,-1.433548645581395e-07,-2.380675033426928e-08
156.0,0.004856811000081507,1.6974960573649313e-05,4.6347421467106746e-07,-9.454785140217831e-09,1.9695518703273108e-08,-2.4502997817370446e-08
157.0,0.00474944300003699,-1.2999857237091764e-05,-3.294350938886319e-07,-7.253540775650689e-09,-1.0387840827187084e-07,-2.440945507393309e-08
158.0,0.0051547470002333284,-1.2999857237091764e-05,-3.6320173871737944e-07,-8.951695337644699e-09,-1.9987853917684884e-07,-2.4944921987361528e-08
159.0,0.004666517999794451,2.9083016792300393e-06,-1.5271496730479974e-08,-1.0646582788925991e-08,-1.7916981518612781e-07,-2.5877658788202914e-08
160.0,0.004959353000231204,2.9083016792300393e-06,-4.4854714536808134e-07,-1.0722319532054318e-08,-1.5140032796843518e-07,-2.676622514869711e-08
161.0,0.005847850000009203,7.2432004216684455e-06,1.644018798567814e-07,-1.3345355956099181e-08,-7.195151352793416e-08,-2.7651591556608716e-08
162.0,0.0049807179998424544,7.2432004216684455e-06,6.613199347913854e-07,-1.2526516553888574e-08,-3.3897787488710997e-09,-2.8009961755153207e-08
163.0,0.00469998000016858,-1.940578692878258e-05,-6.945737157895814e-07,-9.418326086656273e-09,-1.8593211587993046e-07,-2.80258936474779e-08
164.0,0.0052754560001631035,-1.940578692878258e-05,-8.663558643927488e-07,-1.3082519163174003e-08,-3.8965938808162127e-07,-2.90067703438197e-08
165.0,0.004800982000233489,1.0864435522534616e-05,-4.092712130014498e-08,-1.7241878073920314e-08,-2.9157014248876654e-07,-3.087751805222156e-08
166.0,0.005026926000027743,1.0864435522534616e-05,-4.6749092541756536e-07,-1.7447615684090303e-08,-1.8422441520625892e-07,-3.2343219582330136e-08
167.0,0.004792488000020967,7.079440886426684e-06,-3.8078978508852945e-08,-1.9688060334272682e-08,-1.1933428115117877e-07,-3.3226112881517014e-08
168.0,0.004985434999980498,7.079440886426684e-06,-7.308644754957422e-08,-1.9877900606494224e-08,-4.977713249915365e-08,-3.382104618346561e-08
169.0,0.004685928000071726,7.283502647206765e-07,-6.99902197344177e-08,-2.0220378437492547e-08,-6.594112840852547e-08,-3.405429824240668e-08
170.0,0.004940564000207814,7.283502647206765e-07,-1.4322860992115095e-07,-2.0566169597479046e-08,-6.049022389614229e-08,-3.438008460755492e-08
171.0,0.0056899220003288065,2.4217682677234703e-06,1.473487783659325e-07,-2.1381129216145917e-08,-3.559522105915583e-08,-3.4724269263306396e-08
172.0,0.005062796999936836,2.4217682677234703e-06,5.654044813758542e-07,-2.0635132263090516e-08,-1.4569228304213653e-08,-3.4904480641696775e-08
173.0,0.004583456000091246,-1.6466729250866353e-05,-4.921521151088496e-07,-1.8043625700449878e-08,-1.6557346258431745e-07,-3.4971258058584424e-08
174.0,0.004841993000354705,-1.6466729250866353e-05,-9.48397287995997e-07,-2.042662279691669e-08,-3.247684467828186e-07,-3.577296360546218e-08
175.0,0.00546688099984749,1.6075181095769156e-05,-3.939497627797057e-08,-2.5611397910968894e-08,-1.5555047586698324e-07,-3.754843405652915e-08
176.0,0.0048580650000076275,1.6075181095769156e-05,4.896454071613658e-07,-2.5802781266401033e-08,-2.8573759599564176e-09,-3.8304108379073077e-08
177.0,0.004374277999886544,-1.34300159779917e-05,-4.254917945859865e-07,-2.366093613410958e-08,-1.2059761128532813e-07,-3.831660733587212e-08
178.0,0.004970276000221929,-1.34300159779917e-05,-8.836724486298938e-07,-2.577574778903167e-08,-2.5412558525661984e-07,-3.891601074892768e-08
179.0,0.0056327170000258775,1.7213706676358767e-05,0.04495799266441789,-3.075322461288377e-08,4.957356035882891e-05,-4.034742825314417e-08
180.0,0.004919245000110095,1.7213706676358767e-05,-0.061014860456538166,0.00022112862740481117,-6.491935250300599e-05,2.0351706067968098e-07
181.0,0.004791001999819855,1.7392001803787716,0.024465022140065514,-7.119369106119259e-05,0.014877593080167645,-1.0751168698923079e-07
182.0,0.004938125000080618,1.7392001803787716,0.051430057117892634,4.961764639619075e-05,0.031287620554104174,7.335990264321302e-05
183.0,0.005539064000004146,-0.3578181795057873,0.04375510191002071,0.0003344920242960668,0.026596735280455055,0.0002466640353002412
